ISSY-LES-MOULINEAUX;France;2,2734713;48,8244968;VILNIUS;Lithuania;25,2853984;54,6843135;28906
MUENCHEN;Germany;11,5754815;48,1372719;DELFT;Netherlands;4,35839;52,0114017;29652
NOVI SAD;Serbia;19,845081;45,2551053;SARAJEVO;Bosnia and Herzegovina;18,3886134;43,8514981;29789
BERGEN;Norway;4,70804;52,66765;MORSANG SUR ORGE;France;2,3527728;48,6641415;29967
BERGEN;Norway;5,37306653;60,3568769;MORSANG SUR ORGE;France;2,3527728;48,6641415;29967
TOULOUSE;France;1,4442469;43,6044622;WAGENINGEN;Netherlands;5,6634279;51,9750824;30000
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;Rome;Italy;12,4830619;41,8932575;30413
LISBOA;Portugal;-9,1328948;38,7128995;ALMADA;Portugal;-9,1559187;38,6805411;30495
SAINT MANDE CEDEX;France;1,8883335;46,603354;Karlsruhe;Germany;8,4041208;49,0105758;31492
TRES CANTOS (MADRID);Spain;-3,7118812;40,5991506;Rheine;Germany;7,4379228;52,2787715;32010
NOVI SAD;Serbia;19,845081;45,2551053;SOFIA;Bulgaria;23,3144912;42,6932683;33491
COVENTRY;United Kingdom;-1,510477;52,4081812;CORK;Ireland;-8,4705806;51,8979282;33600
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;Acharnae;Greece;23,21204681;38,25622045;34616
MOL;Belgium;5,1156157;51,1841061;CORDOBA;Argentina;-63,7940923;-32,0967361;35000
MOL;Belgium;5,1156157;51,1841061;CORDOBA;Argentina;-4,7794976;37,8844099;35000
PARIS;France;2,3521334;48,8565056;Accra;Ghana;-0,2057437;5,5600141;35000
PARIS;France;2,3521334;48,8565056;Entebbe;Uganda;32,4693641;0,0617743;35000
PARIS;France;2,3521334;48,8565056;LUSAKA;Zambia;28,2813812;-15,4166967;35000
EDENBRIDGE;United Kingdom;0,0639341;51,1958271;UPPSALA;Sweden;17,64112;59,8594126;36020
PARIS;France;2,3521334;48,8565056;MARSEILLE;France;5,3699525;43,2961743;36800
THESSALONIKI;Greece;22,9352716;40,6403167;SKOPJE;Former Yugoslav Republic of Macedonia;21,4317955;41,9962268;36885
THESSALONIKI;Greece;22,9352716;40,6403167;TIRANA;Albania;19,8188653;41,3270806;36992
BARCELONA;Spain;2,1700437;41,3870186;ROMA;Italy;12,4830619;41,8932575;37312
